,status,gene,N,n_aneup,cna,mean_b_scaling,sd_b_scaling,mean_b_deviation,sd_b_deviation,z_comp,p_value,mean_phi,Rhat_b_deviation,ess_b_deviation,covar_levels,reason
0,ok,DPM1,45.0,27.0,all,0.608314387845,0.10892310277735172,-0.21201236489300748,0.15379358899996784,-1.3785513835238725,0.16803311484165073,7.107501788,1.00128,1646.39,['ALL'],
1,ok,SCYL3,45.0,33.0,all,0.6907128344774999,0.11838136710462917,-0.2861831867213725,0.1637346374672604,-1.7478475608351123,0.08049042719340793,7.5744301991,1.00016,1504.34,['ALL'],
2,ok,C1orf112,45.0,33.0,all,0.42965796930274996,0.12569460350246867,-0.07222200545374927,0.1694123148172517,-0.426309064554466,0.6698826536494789,4.010699453675,1.00318,1507.24,['ALL'],
3,ok,FGR,45.0,23.0,all,0.11656346102605,0.05195339385548865,-0.29698161423382496,0.10310959910031274,-2.8802518565211277,0.0039735760813377485,3.3927392273250003,1.00338,1064.7,['ALL'],
4,ok,CFH,45.0,32.0,all,0.41580497061225,0.1492080323761085,-0.2800861756662863,0.17298968786135324,-1.6190917454615452,0.10542752459782978,1.8037701832449997,1.00058,1778.69,['ALL'],
5,ok,GCLC,45.0,25.0,all,0.9007465004399999,0.29861999616810786,-0.0281762829081444,0.19389802657772773,-0.1453149544915528,0.8844622080720832,0.72234973864,1.00234,2432.25,['ALL'],
6,ok,NFYA,45.0,27.0,all,0.6322963559499999,0.1315017005870751,-0.11775920102382825,0.17053111415062086,-0.6905437849882219,0.48985228508251044,4.881692960575,1.00176,1782.15,['ALL'],
7,ok,STPG1,45.0,23.0,all,0.9451574741250001,0.14903953729202857,-0.33587769920362504,0.16914102892779398,-1.985784888106662,0.04705721445243061,4.269841301775,1.00172,1879.65,['ALL'],
8,ok,NIPAL3,45.0,23.0,all,0.7521918026825,0.14788192589759708,-0.354395362708115,0.1802322273923358,-1.9663262660381753,0.04926093462034631,4.211396309175,1.0011,1865.07,['ALL'],
9,ok,ENPP4,45.0,25.0,all,0.829055599885,0.1548306969165398,-0.14997342137868525,0.1858144311194523,-0.807113960283707,0.4196008298318956,2.596651328075,1.00111,2360.96,['ALL'],
