"","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86","sample87","sample88","sample89","sample90","sample91","sample92","sample93","sample94","sample95","sample96","sample97","sample98","sample99","sample100","sample101","sample102"
"AC002511.2",1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AC003072.1",1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1,1,1,1,1,0.5,0.5,1,1,1,1,1,1
"AC003991.1",1,1,3.5,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1.5,2,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1
"AC004066.1",1,0.5,2.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1
"AC004080.1",1,1,3.5,2,1,1,1.5,0.5,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AC004080.2",1,1,3.5,2,1,1,1.5,0.5,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AC004160.1",1,1,3.5,2,1,1,1.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AC004522.2",1,1,3.5,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AC004540.1",1,1,3.5,2,1,1,1.5,0.5,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AC004540.2",1,1,3.5,2,1,1,1.5,0.5,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
